,Category,Tract,Score_exog,Score_no_exog,Census_better
210,Abandoned Vehicle,311.0,1.27336846915,1.43750918939,True
211,Abandoned Vehicle,313.01,1.94232119196,1.72969029006,False
212,Abandoned Vehicle,313.02,1.72081202717,1.72081202543,False
213,Abandoned Vehicle,314.0,3.97751834469,3.58927575169,False
214,Abandoned Vehicle,326.02,2.02209206074,2.01934700671,False
215,Abandoned Vehicle,327.0,2.20817940837,1.99075351235,False
216,Abandoned Vehicle,329.01,2.47692794631,2.47692794236,False
217,Abandoned Vehicle,351.0,1.79737527823,1.8632479337,True
218,Abandoned Vehicle,352.01,1.96732901687,1.96732902602,False
219,Abandoned Vehicle,352.02,0.893449973467,0.937121750272,True
220,Abandoned Vehicle,353.0,2.68415202373,2.81126412099,True
221,Abandoned Vehicle,354.0,2.3169461767,2.37270566374,True
222,Abandoned Vehicle,426.01,3.14910272182,3.22421343129,True
223,Abandoned Vehicle,428.0,2.26811399209,2.40679789413,True
224,Abandoned Vehicle,451.0,1.30772345348,1.09041297069,False
225,Abandoned Vehicle,452.0,2.93995077353,2.61542834031,False
226,Abandoned Vehicle,476.0,2.06001871648,2.06001871888,False
227,Abandoned Vehicle,478.01,2.01938483455,1.63239538579,False
228,Abandoned Vehicle,478.02,1.69678710751,1.25250166303,False
229,Abandoned Vehicle,479.01,4.30197761294,4.40128171533,True
230,Abandoned Vehicle,479.02,3.85755060158,3.82178010452,False
231,Homeless Concerns,104.0,1.15255142547,1.16687408381,True
232,Homeless Concerns,112.0,1.24198069137,0.841671634834,False
233,Homeless Concerns,122.01,3.43614956406,4.8130340737,True
234,Homeless Concerns,122.02,1.95890912816,1.95890913247,False
235,Homeless Concerns,123.01,2.4541891094,2.5543868412,True
236,Homeless Concerns,124.01,5.31687305903,5.6585636431,True
237,Homeless Concerns,124.02,7.57281022122,7.57281022287,False
238,Homeless Concerns,125.01,6.47122383916,3.51926507856,False
239,Homeless Concerns,125.02,3.584358481,2.38716813554,False
240,Homeless Concerns,129.02,2.53697511793,2.91069960336,True
241,Homeless Concerns,165.0,0.948612393472,1.04290916664,True
242,Homeless Concerns,166.0,2.35914676445,2.34502261571,False
243,Homeless Concerns,168.01,2.10188239977,2.1018827445,False
244,Homeless Concerns,169.0,2.51363684943,2.17192911007,False
245,Homeless Concerns,176.01,13.4121257877,13.4121257883,False
246,Homeless Concerns,177.0,6.7242743728,6.72427437341,False
247,Homeless Concerns,178.02,7.87726070432,7.87726072287,False
248,Homeless Concerns,203.0,3.76078114241,3.67819347068,False
249,Homeless Concerns,206.0,3.91994899306,3.91994896379,False
250,Homeless Concerns,208.0,4.81518668197,4.93006529113,True
251,Homeless Concerns,209.0,3.03414560604,3.03414561301,False
252,Homeless Concerns,215.0,0.501422072463,0.558721348636,True
253,Homeless Concerns,229.01,1.90349862353,1.90349862868,False
254,Encampments,124.01,5.45670716152,6.79711819115,True
255,Encampments,168.02,8.43112375708,6.91810854937,False
256,Encampments,176.01,5.76242951076,5.48086689312,False
257,Encampments,177.0,18.7061470511,18.7061470511,False
258,Encampments,178.02,17.8988273134,17.8988273121,False
259,Encampments,201.0,11.8137304025,12.7025609485,True
260,Encampments,205.0,13.5798226709,13.5798226694,False
261,Encampments,229.01,1.30714394768,1.60996817492,True
262,Encampments,313.02,0.410256410256,0.32476844924,False
263,Sewer Issues,127.0,0.668016204117,0.635502958637,False
264,Sewer Issues,158.02,0.604147662138,0.534725439673,False
265,Sewer Issues,167.0,1.01357585604,1.23495958376,True
266,Sewer Issues,170.0,1.30112526127,1.30112526004,False
267,Sewer Issues,205.0,0.85312732751,0.985869886706,True
268,Sewer Issues,210.0,0.587258971233,0.550849678099,False
269,Sewer Issues,211.0,0.671572820868,0.670718705696,False
270,Sewer Issues,217.0,1.32974255836,1.32884637608,False
271,Sewer Issues,230.03,0.969394347743,0.965714921736,False
272,Sewer Issues,233.0,0.527747206304,0.359781477855,False
273,Sewer Issues,234.0,0.749105308153,0.666546840835,False
274,Sewer Issues,255.0,1.72695353581,1.73834592201,True
275,Sewer Issues,256.0,1.15823601978,1.15090728394,False
276,Sewer Issues,303.01,1.09631885733,1.08626687558,False
277,Sewer Issues,307.0,1.01687827768,0.614259807444,False
278,Sewer Issues,308.0,0.98203402537,1.08027648947,True
279,Sewer Issues,311.0,0.990866002723,1.27228013341,True
280,Sewer Issues,312.01,0.848709693044,0.705951658201,False
281,Sewer Issues,314.0,1.59731975961,1.60511734645,True
282,Sewer Issues,326.01,1.2530933925,1.27113514534,True
283,Sewer Issues,330.0,1.84396112583,1.84620919979,True
284,Sewer Issues,401.0,0.476576899384,0.399011898891,False
285,Sewer Issues,426.02,0.545944729849,0.334685833632,False
286,Sewer Issues,427.0,0.724306614207,0.661475435827,False
287,Sewer Issues,428.0,1.10293943445,1.15523456832,True
288,Sewer Issues,451.0,0.919456952983,0.953266887536,True
289,Sewer Issues,476.0,0.861576919549,0.986227496567,True
290,Sewer Issues,479.01,1.36819368638,1.38101287293,True
291,Sewer Issues,612.0,1.03591324582,0.909343468582,False
292,Streetlights,106.0,0.538698135985,0.54586003425,True
293,Streetlights,117.0,0.769858945745,1.27265797125,True
294,Streetlights,204.01,1.21802282839,1.304648858,True
295,Streetlights,206.0,0.746583841669,0.663810021855,False
296,Streetlights,207.0,0.74980344686,0.77319955168,True
297,Streetlights,257.02,0.332704186301,0.176201610237,False
298,Streetlights,259.0,0.627172673456,0.526429250825,False
299,Streetlights,260.01,0.77086683326,0.809047101997,True
300,Streetlights,263.02,0.787084780115,0.923076923077,True
301,Streetlights,309.0,1.39510880163,2.2190265272,True
302,Damaged Property,101.0,0.67679241355,0.831433940424,True
303,Damaged Property,117.0,2.4080887584,2.21925479488,False
304,Damaged Property,122.01,0.769982492097,0.812492748529,True
305,Damaged Property,125.02,0.541372672538,0.422037422037,False
306,Damaged Property,180.0,0.856247885994,0.692307692308,False
307,Damaged Property,201.0,1.43095083543,1.51306707048,True
308,Damaged Property,326.01,0.630210089946,0.618869693048,False
309,Damaged Property,615.0,1.28902499648,1.4900824505,True
